Released_on,place_matches_cleaned,Text_Length,Sentiment_Score,View_Class,Engagement_Ratio,Like_Ratio,Day_of_Week,cast_jethalal,cast_daya,cast_bhide,cast_taarak,cast_tapu,cast_champaklal,cast_sodhi,cast_anjali,cast_sonu,cast_goli,cast_madhavi,cast_hathi,cast_roshan,cast_popatlal,cast_babita,cast_iyer,cast_bagha,cast_sundar,cast_nattu
2008-08-28,UNKNOWN_LOCATION,75,-0.5,Good,0.01510252220257918,0.8605833772331756,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-28,Gokuldham Society,60,-0.5,Good,0.017783697618264434,0.8594624274768582,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,75,-0.5,Hit,0.017820243421790578,0.7681492140280105,3,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,70,0.5,Hit,0.010348203446974912,0.4632256494188407,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2008-08-28,Gokuldham Society,71,0.0,Hit,0.01757738764731772,0.6622563450535478,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,45,0.25,Hit,0.007741395491900247,0.4082396939129612,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,84,0.5,Hit,0.013727555399102373,0.5616735877222139,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2008-08-28,Gokuldham Society,60,-0.5,Good,0.030327810006426273,1.1644250586156721,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,73,0.0,Hit,0.0099348751356768,0.4897602643883381,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,55,-0.5,Good,0.012645449764850174,0.5638366958354137,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,41,0.0,Good,0.014763365209401452,0.6603366584361521,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,69,0.0,Good,0.01784019467220426,0.7766431413966256,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,Gokuldham Society,73,0.5,Good,0.009375,0.7105411585365854,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,51,-0.5,Good,0.015797875641209613,0.8324678500773036,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,43,0.0,Hit,0.014923416318112045,0.742637689875937,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,Gokuldham Society,47,0.0,Good,0.01597999115958967,0.7996375566871234,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,60,0.0,Hit,0.010294541490451795,0.6128262396008725,5,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
2008-08-30,Gokuldham Society,65,0.6666666666666666,Hit,0.016174520367311023,0.8116992020536528,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,94,0.0,Hit,0.013188757958606672,0.6077225257733765,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,71,0.0,Hit,0.016306004684211874,0.7176614886311314,5,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2008-08-30,Gokuldham Society,85,0.0,Good,0.015417448065275539,0.9199943052243901,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,73,0.6666666666666666,Good,0.014092749634208703,0.7834615731503056,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,Gokuldham Society,44,0.0,Average,0.014657345825292259,0.9004178047488235,5,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
2008-08-30,Gokuldham Society,66,0.0,Good,0.009036272861687285,0.5256386635006933,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,53,0.0,Good,0.025635608645070182,0.8841652887899487,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,72,0.5,Hit,0.01279135223953262,0.6472203627069134,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2008-08-30,UNKNOWN_LOCATION,73,0.0,Hit,0.009696261351093706,0.6509723415382301,5,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,72,0.5,Hit,0.013388406308905405,0.6012145712066493,5,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,64,0.0,Hit,0.019097984003758436,0.8263067571559859,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2008-08-30,UNKNOWN_LOCATION,71,0.0,Hit,0.015287912737292051,0.8910208947782225,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,47,0.0,Good,0.019810259057670938,0.8648041092827364,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,42,0.0,Hit,0.015796398082387038,0.7966367724400791,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,58,0.0,Hit,0.010004177182753501,0.509278333515512,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,50,0.0,Hit,0.015974662330594417,0.6260118932382277,5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,44,0.0,Hit,0.016171028573245576,0.8545780599324817,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,Gokuldham Society,55,-0.5,Hit,0.013741187075200001,0.7817540559956173,5,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2008-08-30,Gokuldham Society,53,0.0,Hit,0.013406147299865499,0.8527140152016219,5,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,46,0.25,Hit,0.014741162046436789,0.8301868170529766,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,Gokuldham Society,57,0.0,Hit,0.014856676921260067,0.7259842002864522,5,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2008-08-30,Gokuldham Society,63,-0.5,Good,0.01698851209784765,0.8013815778762725,5,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
2020-06-30,Gokuldham Society,58,0.5,Hit,0.009882143403305581,0.8763033094096327,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
2020-06-30,UNKNOWN_LOCATION,69,0.0,Hit,0.01496818510112317,0.8223012662484153,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008-08-30,Gokuldham Society,52,0.0,Hit,0.016625257873965193,0.7664901453775346,5,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,52,0.0,Hit,0.01364662680197504,0.7500078540040184,5,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,61,0.0,Hit,0.01153577945196218,0.5907409224906867,5,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,63,0.5,Hit,0.016760172840256844,0.8531399804301903,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2008-08-30,Gokuldham Society,65,0.5,Hit,0.010144725358563046,0.6952249265626191,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,62,0.0,Good,0.01751336729355883,0.8248560389428178,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,55,0.5,Good,0.01407346155891288,0.7911068459111978,5,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
